Sample Number,Result,Time,Method
0,1.0,59.64076541666667,relax
1,1.0,63.89554733333333,relax
2,1.0,67.583818625,relax
3,1.0,64.900935625,relax
4,1.0,62.200353625,relax
5,1.0,61.49542833333334,relax
6,1.0,64.684302625,relax
7,1.0,62.73903020833333,relax
8,1.0,61.989916,relax
9,1.0,57.157218666666665,relax
10,1.0,64.49748879166667,relax
11,1.0,65.975971,relax
12,1.0,65.29739383333333,relax
13,1.0,61.06673479166667,relax
14,1.0,62.00939745833333,relax
15,1.0,65.62429716666666,relax
16,1.0,69.18110091666667,relax
17,1.0,69.01326304166666,relax
18,1.0,63.529695,relax
19,1.0,62.466535,relax
20,1.0,63.15585033333333,relax
21,1.0,64.080449875,relax
22,1.0,61.409019875,relax
23,1.0,64.40236754166666,relax
24,1.0,64.61754466666666,relax
25,1.0,62.370326291666665,relax
26,1.0,61.626957833333336,relax
27,1.0,63.044404166666666,relax
28,2.0,65.82371129166667,relax
29,1.0,64.97690270833333,relax
30,1.0,60.140581708333336,relax
31,1.0,64.50147404166667,relax
32,1.0,59.11600420833334,relax
33,1.0,65.277122,relax
34,1.0,60.75782316666667,relax
35,1.0,62.59838825,relax
36,1.0,64.54548658333333,relax
37,1.0,60.84973758333334,relax
38,1.0,63.12476195833333,relax
39,1.0,60.641071708333335,relax
40,1.0,64.72085520833333,relax
41,1.0,66.36420579166666,relax
42,1.0,61.58083595833333,relax
43,1.0,59.78959091666667,relax
44,1.0,68.03288920833333,relax
45,1.0,58.05400995833333,relax
46,1.0,61.75539245833333,relax
47,1.0,65.96180329166667,relax
48,1.0,58.46789075,relax
49,1.0,63.177272708333334,relax
50,1.0,64.56528579166667,relax
51,1.0,63.890159125,relax
52,1.0,65.6056645,relax
53,1.0,59.28532679166667,relax
54,2.0,66.10113254166667,relax
55,1.0,65.52538808333334,relax
56,1.0,62.82992904166667,relax
57,1.0,62.772686541666666,relax
58,1.0,63.02142416666667,relax
59,1.0,60.63500558333333,relax
60,1.0,65.26393020833333,relax
61,1.0,66.98278308333333,relax
62,1.0,65.41588666666667,relax
63,1.0,68.24151795833333,relax
64,1.0,62.295701208333334,relax
65,1.0,63.869668375,relax
66,1.0,60.309689291666665,relax
67,1.0,63.889112375,relax
68,1.0,64.957518875,relax
69,1.0,61.895938916666665,relax
70,1.0,60.802639125,relax
71,1.0,68.41058629166666,relax
72,1.0,62.584224791666664,relax
73,1.0,63.26378304166667,relax
74,1.0,64.10933454166667,relax
75,1.0,65.622510625,relax
76,2.0,63.458687125,relax
77,1.0,65.37858520833333,relax
78,1.0,60.64787770833333,relax
79,1.0,64.90648425,relax
80,1.0,63.571612,relax
81,1.0,62.335225875,relax
82,1.0,64.39944879166667,relax
83,1.0,61.886000458333335,relax
84,1.0,64.38568508333333,relax
85,1.0,62.078217875,relax
86,1.0,64.56285129166666,relax
87,1.0,63.4487685,relax
88,1.0,64.69530229166666,relax
89,1.0,61.60611279166667,relax
90,1.0,62.09099220833333,relax
91,1.0,63.23800270833333,relax
92,1.0,63.836598125,relax
93,2.0,66.34901516666666,relax
94,1.0,64.01352108333333,relax
95,1.0,62.710327416666665,relax
96,1.0,69.38115979166666,relax
97,1.0,62.65570458333333,relax
98,1.0,60.856496125,relax
99,1.0,68.249827125,relax
