Sample Number,Result,Time,Method
0,2.0,36.57950925,approx
1,1.0,31.102938958333333,approx
2,2.0,41.36061229166667,approx
3,2.0,50.912427875,approx
4,2.0,57.291918333333335,approx
5,2.0,44.36763625,approx
6,1.0,34.163146125,approx
7,1.0,15.164634083333333,approx
8,2.0,52.666260875,approx
9,2.0,46.044088333333335,approx
10,1.0,21.648977125,approx
11,2.0,42.023105875,approx
12,1.0,26.224572416666668,approx
13,2.0,38.237901666666666,approx
14,2.0,123.890297125,approx
15,2.0,36.16331420833333,approx
16,2.0,39.360080375,approx
17,1.0,35.0407165,approx
18,2.0,48.16842883333333,approx
19,2.0,46.357496625,approx
20,2.0,84.72395820833333,approx
21,2.0,30.381102791666667,approx
22,1.0,26.3833515,approx
23,2.0,49.32572029166667,approx
24,2.0,59.37746475,approx
25,2.0,44.8581095,approx
26,2.0,34.88681141666667,approx
27,1.0,23.866375833333333,approx
28,1.0,35.126952833333334,approx
29,2.0,69.07546929166666,approx
30,2.0,43.44442620833333,approx
31,1.0,43.16336904166667,approx
32,2.0,45.751382,approx
33,2.0,59.696568666666664,approx
34,2.0,58.515317,approx
35,2.0,33.58971366666667,approx
36,1.0,32.29798275,approx
37,2.0,115.4377395,approx
38,2.0,33.886702541666665,approx
39,1.0,37.72206404166667,approx
40,2.0,69.95390379166666,approx
41,2.0,85.87739145833334,approx
42,1.0,34.26660425,approx
43,1.0,39.108877875,approx
44,2.0,45.509269375,approx
45,2.0,85.885909,approx
46,2.0,52.55504704166667,approx
47,2.0,70.69415079166667,approx
48,2.0,43.33873570833333,approx
49,2.0,43.6946035,approx
50,2.0,33.655170166666664,approx
51,2.0,40.63446,approx
52,2.0,86.222577625,approx
53,1.0,31.20578675,approx
54,2.0,52.21514045833333,approx
55,1.0,41.812029125,approx
56,1.0,37.87786075,approx
57,2.0,41.32984745833333,approx
58,2.0,44.08171745833334,approx
59,1.0,31.474073625,approx
60,2.0,63.901093125,approx
61,1.0,28.76535875,approx
62,2.0,34.642287375,approx
63,2.0,50.73556404166666,approx
64,2.0,33.341122166666665,approx
65,2.0,95.93703325,approx
66,1.0,31.957184375,approx
67,2.0,26.837345208333332,approx
68,2.0,47.2851815,approx
69,2.0,33.860081541666666,approx
70,2.0,38.08171254166667,approx
71,2.0,55.230642,approx
72,2.0,45.246522666666664,approx
73,2.0,71.609153625,approx
74,2.0,47.583725916666666,approx
75,2.0,41.239607625,approx
76,2.0,43.882131666666666,approx
77,1.0,31.793888958333334,approx
78,1.0,31.199388958333333,approx
79,1.0,29.388986708333334,approx
80,1.0,20.831379,approx
81,2.0,68.57159045833333,approx
82,2.0,42.02683458333333,approx
83,2.0,57.9340765,approx
84,2.0,38.534432875,approx
85,2.0,47.426014208333335,approx
86,2.0,51.406047541666666,approx
87,2.0,76.24457566666666,approx
88,2.0,46.718886833333336,approx
89,1.0,25.72767675,approx
90,2.0,135.8688935,approx
91,1.0,29.184858916666666,approx
92,2.0,47.9160885,approx
93,2.0,46.08507408333333,approx
94,2.0,34.262750458333336,approx
95,2.0,57.853388708333334,approx
96,1.0,21.06063425,approx
97,2.0,81.77377916666667,approx
98,2.0,52.18227475,approx
99,2.0,53.655728708333335,approx
