Sample Number,Result,Time,Method
0,1.0,327.800167375,approx
1,1.0,195.19507904166667,approx
2,1.0,196.6785815,approx
3,2.0,1021.0220339166667,approx
4,3,timeout,timeout
5,2.0,745.964918125,approx
6,1.0,152.859154125,approx
7,1.0,201.82754,approx
8,1.0,247.91244266666666,approx
9,2.0,123.84344354166667,approx
10,1.0,181.28199770833334,approx
11,2.0,218.138771375,approx
12,3,timeout,timeout
13,1.0,230.48209291666666,approx
14,1.0,326.1761105416667,approx
15,1.0,181.44453208333334,approx
16,1.0,232.05088679166667,approx
17,2.0,1199.4340057083334,approx
18,1.0,148.40956808333334,approx
19,3,timeout,timeout
20,1.0,209.197177875,approx
21,1.0,224.50021625,approx
22,3,timeout,timeout
23,2.0,1651.8501690416667,approx
24,1.0,243.79733358333334,approx
25,1.0,325.5669647916667,approx
26,2.0,474.1246855,approx
27,2.0,1454.286895375,approx
28,1.0,404.88146525,approx
29,1.0,131.68697033333333,approx
30,1.0,578.5319297083333,approx
31,1.0,318.428840875,approx
32,2.0,213.28968641666665,approx
33,2.0,1017.8189753333334,approx
34,1.0,289.28749554166666,approx
35,1.0,170.92870641666667,approx
36,1.0,157.56387370833335,approx
37,2.0,1099.423809375,approx
38,1.0,177.85827433333333,approx
39,3,timeout,timeout
40,3,timeout,timeout
41,2.0,828.587115375,approx
42,3,timeout,timeout
43,1.0,485.45475758333333,approx
44,2.0,501.13845841666665,approx
45,2.0,276.19252216666666,approx
46,1.0,271.286305,approx
47,1.0,188.94085158333334,approx
48,2.0,566.20506125,approx
49,1.0,182.48478404166667,approx
50,1.0,372.6409732083333,approx
51,2.0,573.611247625,approx
52,2.0,171.28425570833335,approx
53,1.0,192.07915420833334,approx
54,3,timeout,timeout
55,3,timeout,timeout
56,1.0,426.64585204166667,approx
57,1.0,183.60825683333334,approx
58,1.0,189.61256116666667,approx
59,1.0,388.06327416666664,approx
60,1.0,232.979494,approx
61,1.0,339.5724064166667,approx
62,2.0,507.11049041666666,approx
63,3,timeout,timeout
64,1.0,389.534022375,approx
65,1.0,243.25458866666668,approx
66,2.0,1019.7384096666667,approx
67,3,timeout,timeout
68,1.0,133.652278375,approx
69,2.0,140.45070083333334,approx
70,2.0,195.7499185,approx
71,1.0,191.469428125,approx
72,2.0,291.693441,approx
73,3,timeout,timeout
74,2.0,488.01661825,approx
75,3,timeout,timeout
76,2.0,1401.3402515,approx
77,1.0,345.1114079166667,approx
78,1.0,325.7028877083333,approx
79,2.0,423.1112155,approx
80,2.0,265.33008233333334,approx
81,1.0,215.142115375,approx
82,3,timeout,timeout
83,1.0,233.15703375,approx
84,3,timeout,timeout
85,1.0,516.6559072083334,approx
86,1.0,165.93087454166667,approx
87,1.0,249.137410125,approx
88,1.0,456.1660556666667,approx
89,1.0,269.02209108333335,approx
90,3,timeout,timeout
91,1.0,340.37184583333334,approx
92,1.0,256.0842255,approx
93,1.0,244.74975625,approx
94,3,timeout,timeout
95,2.0,656.8825297916667,approx
96,1.0,216.838165625,approx
97,3,timeout,timeout
98,2.0,167.737835,approx
99,1.0,420.997173375,approx
100,3,timeout,timeout
101,1.0,253.38312266666668,approx
102,1.0,280.05615375,approx
103,2.0,1615.600088375,approx
104,3,timeout,timeout
105,3,timeout,timeout
106,2.0,339.7345604166667,approx
107,2.0,372.66650991666666,approx
108,1.0,146.36861920833334,approx
109,1.0,502.25384425,approx
110,2.0,241.756432875,approx
111,3,timeout,timeout
112,2.0,338.74986225,approx
113,2.0,260.03562941666667,approx
114,1.0,133.09676783333333,approx
115,1.0,190.18772683333333,approx
116,1.0,154.22325958333334,approx
117,1.0,166.52211870833332,approx
118,1.0,319.19206825,approx
119,2.0,148.11151658333333,approx
120,2.0,179.30231575,approx
121,1.0,170.18507975,approx
122,3,timeout,timeout
123,1.0,166.48575429166667,approx
124,1.0,393.7110543333333,approx
125,1.0,422.27283745833336,approx
126,1.0,409.8284307916667,approx
127,1.0,345.59019133333334,approx
128,1.0,727.161735375,approx
129,1.0,691.6046835833333,approx
130,1.0,369.58310229166665,approx
131,1.0,278.349627625,approx
132,1.0,150.06123683333334,approx
133,1.0,176.57635233333335,approx
134,2.0,258.74347579166664,approx
135,1.0,254.74061475,approx
136,1.0,250.78660570833333,approx
137,1.0,148.37947204166667,approx
138,3,timeout,timeout
139,1.0,158.38445854166667,approx
140,3,timeout,timeout
141,1.0,324.76194408333333,approx
142,2.0,1167.184940875,approx
143,2.0,405.81879745833334,approx
144,1.0,140.48278645833332,approx
145,3,timeout,timeout
146,1.0,203.61753783333333,approx
147,1.0,322.2254455,approx
148,2.0,975.2887291666667,approx
149,1.0,266.34895375,approx
150,1.0,273.3750240416667,approx
151,2.0,1513.416795625,approx
152,3,timeout,timeout
153,2.0,485.319325125,approx
154,1.0,261.5847336666667,approx
155,3,timeout,timeout
156,1.0,443.26480733333335,approx
157,1.0,169.614930625,approx
158,1.0,214.12172375,approx
159,2.0,553.09631125,approx
