Sample Number,Result,Time,Method
0,1.0,19.64166575,relax
1,1.0,17.780614791666668,relax
2,1.0,20.406628958333332,relax
3,1.0,20.94404175,relax
4,1.0,21.69030370833333,relax
5,1.0,24.854943291666668,relax
6,1.0,22.2583025,relax
7,1.0,9.857681833333332,relax
8,1.0,23.453345583333334,relax
9,1.0,20.514785458333332,relax
10,1.0,13.356117791666666,relax
11,1.0,20.430160416666666,relax
12,1.0,17.397648208333333,relax
13,1.0,20.664111708333333,relax
14,2.0,30.147569291666667,relax
15,1.0,21.811347875,relax
16,1.0,22.065980541666665,relax
17,1.0,24.592745916666665,relax
18,1.0,25.086553625,relax
19,1.0,23.93254608333333,relax
20,2.0,26.2571625,relax
21,1.0,17.931603208333332,relax
22,1.0,15.018196458333334,relax
23,1.0,24.10613875,relax
24,1.0,29.854476916666666,relax
25,1.0,24.516061625,relax
26,1.0,18.929089083333334,relax
27,1.0,12.847920625,relax
28,1.0,19.635842625,relax
29,2.0,29.064068375,relax
30,1.0,22.23428175,relax
31,1.0,21.176667375,relax
32,1.0,19.6916215,relax
33,1.0,22.484846541666666,relax
34,1.0,23.319222833333335,relax
35,1.0,18.513532166666668,relax
36,1.0,16.646068791666668,relax
37,2.0,35.738438625,relax
38,1.0,18.05172525,relax
39,1.0,19.260054041666667,relax
40,2.0,28.531552166666668,relax
41,2.0,21.444669166666667,relax
42,1.0,15.942444166666666,relax
43,1.0,22.22435075,relax
44,2.0,17.760383125,relax
45,2.0,27.258991791666666,relax
46,2.0,19.652759541666665,relax
47,2.0,38.10332845833333,relax
48,1.0,20.557603583333332,relax
49,1.0,17.732596291666667,relax
50,1.0,17.386508791666667,relax
51,1.0,21.425463791666665,relax
52,2.0,24.130054541666667,relax
53,1.0,16.071168458333332,relax
54,1.0,20.609625791666666,relax
55,1.0,21.121961125,relax
56,1.0,22.01329225,relax
57,1.0,23.20236304166667,relax
58,1.0,20.868630166666666,relax
59,1.0,17.604967,relax
60,1.0,26.835758,relax
61,1.0,17.757866041666666,relax
62,1.0,20.463614166666666,relax
63,1.0,24.765377041666667,relax
64,1.0,20.379969833333334,relax
65,2.0,53.49515945833333,relax
66,1.0,21.878341583333334,relax
67,1.0,16.864659291666666,relax
68,1.0,24.471601916666668,relax
69,1.0,18.238862291666667,relax
70,1.0,21.988778416666666,relax
71,1.0,25.29279975,relax
72,1.0,20.459403916666666,relax
73,1.0,24.209341208333335,relax
74,1.0,22.388416291666665,relax
75,1.0,19.562446666666666,relax
76,1.0,20.391581791666667,relax
77,1.0,19.897547375,relax
78,1.0,19.672364083333335,relax
79,1.0,19.166488458333333,relax
80,1.0,13.300486208333334,relax
81,2.0,30.573879916666666,relax
82,1.0,22.896899666666666,relax
83,2.0,36.613280333333336,relax
84,1.0,23.536485333333335,relax
85,1.0,25.109705166666668,relax
86,1.0,23.280442208333334,relax
87,2.0,21.573874958333334,relax
88,1.0,24.380939583333333,relax
89,1.0,16.539539541666667,relax
90,2.0,30.293579583333333,relax
91,1.0,19.178863333333332,relax
92,1.0,24.445869083333335,relax
93,2.0,24.518746208333333,relax
94,1.0,22.443065125,relax
95,1.0,28.0264385,relax
96,1.0,14.691655333333333,relax
97,2.0,24.70499729166667,relax
98,2.0,33.11644758333333,relax
99,2.0,27.754754083333335,relax
