Sample Number,Result,Time,Method
0,2.0,3167.5774772916666,relax
1,2.0,171.9688795,relax
2,2.0,185.29869529166666,relax
3,2.0,1386.675149625,relax
4,3,timeout,timeout
5,3,timeout,timeout
6,2.0,140.86833058333335,relax
7,2.0,231.788266375,relax
8,2.0,583.9000969583333,relax
9,2.0,125.20376775,relax
10,2.0,171.384537875,relax
11,2.0,449.9506538333333,relax
12,3,timeout,timeout
13,2.0,626.3668163333333,relax
14,2.0,1413.75393825,relax
15,2.0,196.88946266666667,relax
16,2.0,316.88551070833336,relax
17,3,timeout,timeout
18,2.0,159.75861595833334,relax
19,3,timeout,timeout
20,2.0,210.56806425,relax
21,2.0,202.53651158333332,relax
22,3,timeout,timeout
23,3,timeout,timeout
24,2.0,316.7376874583333,relax
25,3,timeout,timeout
0,3,timeout,timeout
1,3,timeout,timeout
2,2.0,941.790229125,relax
3,2.0,134.47995416666666,relax
4,3,timeout,timeout
5,2.0,909.2507250416667,relax
6,2.0,209.198104125,relax
7,2.0,1495.0360731666667,relax
8,2.0,354.3809929166667,relax
9,2.0,173.536752625,relax
10,2.0,154.7375855,relax
11,3,timeout,timeout
12,2.0,271.589239,relax
13,3,timeout,timeout
14,3,timeout,timeout
15,3,timeout,timeout
16,3,timeout,timeout
17,3,timeout,timeout
18,3,timeout,timeout
19,2.0,306.2595064166667,relax
20,2.0,301.5918002916667,relax
21,2.0,183.97935283333334,relax
22,3,timeout,timeout
23,2.0,171.93559883333333,relax
24,3,timeout,timeout
25,3,timeout,timeout
26,2.0,151.41655145833334,relax
27,2.0,184.18159908333334,relax
28,3,timeout,timeout
29,3,timeout,timeout
30,3,timeout,timeout
31,2.0,165.055472375,relax
32,2.0,174.15933125,relax
33,3,timeout,timeout
34,2.0,258.468588375,relax
35,3,timeout,timeout
36,3,timeout,timeout
37,3,timeout,timeout
38,3,timeout,timeout
39,2.0,318.4806975833333,relax
40,3,timeout,timeout
41,3,timeout,timeout
42,2.0,136.6868095,relax
43,2.0,143.33086970833332,relax
44,2.0,190.225367875,relax
45,2.0,190.55209095833334,relax
46,2.0,422.96317991666666,relax
47,3,timeout,timeout
48,3,timeout,timeout
49,3,timeout,timeout
50,3,timeout,timeout
51,2.0,1010.9410087916667,relax
52,2.0,1042.4031165416666,relax
53,3,timeout,timeout
54,2.0,345.87748558333334,relax
55,2.0,222.62787033333333,relax
56,3,timeout,timeout
57,2.0,553.8353799166666,relax
58,3,timeout,timeout
59,3,timeout,timeout
60,2.0,150.51213941666666,relax
61,2.0,277.0827947916667,relax
62,2.0,365.9032189166667,relax
63,3,timeout,timeout
64,3,timeout,timeout
65,2.0,1052.738863,relax
66,2.0,461.5668044166667,relax
67,2.0,454.172349,relax
68,3,timeout,timeout
69,3,timeout,timeout
70,2.0,332.49617091666664,relax
71,3,timeout,timeout
72,2.0,163.993748875,relax
73,3,timeout,timeout
74,3,timeout,timeout
75,2.0,998.7176770833333,relax
76,3,timeout,timeout
77,3,timeout,timeout
78,3,timeout,timeout
79,3,timeout,timeout
80,3,timeout,timeout
81,3,timeout,timeout
82,2.0,139.43446533333332,relax
83,1.0,363.7131455416667,relax
84,2.0,1161.82371025,relax
85,3,timeout,timeout
86,2.0,1631.5504189583332,relax
87,2.0,418.97886754166666,relax
88,2.0,127.02488908333333,relax
89,2.0,247.41391833333333,relax
90,2.0,157.082334125,relax
91,2.0,169.79937108333334,relax
92,2.0,367.34966091666666,relax
93,2.0,146.079003625,relax
94,2.0,178.61102775,relax
95,1.0,140.442924375,relax
96,3,timeout,timeout
97,2.0,158.70979316666666,relax
98,3,timeout,timeout
99,3,timeout,timeout
100,3,timeout,timeout
101,3,timeout,timeout
102,3,timeout,timeout
103,3,timeout,timeout
104,2.0,867.65477125,relax
105,2.0,228.81651883333333,relax
106,2.0,154.666609125,relax
107,2.0,193.75884795833332,relax
108,3,timeout,timeout
109,2.0,914.845986625,relax
110,2.0,225.97142754166666,relax
111,1.0,146.09567945833334,relax
112,3,timeout,timeout
113,2.0,142.39623566666666,relax
114,3,timeout,timeout
115,3,timeout,timeout
116,3,timeout,timeout
117,3,timeout,timeout
118,2.0,126.39825729166667,relax
119,3,timeout,timeout
120,2.0,423.34998120833336,relax
121,3,timeout,timeout
122,3,timeout,timeout
123,2.0,756.17231025,relax
124,3,timeout,timeout
125,3,timeout,timeout
126,3,timeout,timeout
127,3,timeout,timeout
128,2.0,756.2218202916666,relax
129,3,timeout,timeout
130,3,timeout,timeout
131,1.0,140.613339375,relax
132,2.0,186.840545875,relax
133,3,timeout,timeout
134,2.0,133.06958229166668,relax
135,3,timeout,timeout
136,2.0,688.8200155833333,relax
137,3,timeout,timeout
138,3,timeout,timeout
139,3,timeout,timeout
140,2.0,431.41464520833335,relax
141,3,timeout,timeout
142,3,timeout,timeout
143,3,timeout,timeout
144,2.0,191.82391925,relax
145,2.0,155.31527291666666,relax
146,2.0,140.76429333333334,relax
147,3,timeout,timeout
148,2.0,1516.1534127916666,relax
149,3,timeout,timeout
150,2.0,133.264256875,relax
151,2.0,136.29710920833332,relax
152,2.0,295.76969241666666,relax
153,3,timeout,timeout
154,3,timeout,timeout
155,2.0,123.39622995833334,relax
156,3,timeout,timeout
157,3,timeout,timeout
158,3,timeout,timeout
159,3,timeout,timeout
160,2.0,139.73065495833333,relax
161,3,timeout,timeout
162,2.0,169.95752491666667,relax
163,2.0,883.61145275,relax
164,2.0,152.76974666666666,relax
165,3,timeout,timeout
166,2.0,233.7089155,relax
167,2.0,164.10194891666666,relax
168,3,timeout,timeout
169,3,timeout,timeout
170,3,timeout,timeout
171,2.0,343.57710491666666,relax
172,3,timeout,timeout
173,3,timeout,timeout
174,2.0,525.1847040833334,relax
175,3,timeout,timeout
176,2.0,782.6145655416667,relax
177,3,timeout,timeout
178,3,timeout,timeout
179,3,timeout,timeout
180,2.0,169.98695354166668,relax
181,3,timeout,timeout
182,2.0,165.959490875,relax
183,2.0,298.48593454166667,relax
184,2.0,696.89620325,relax
185,3,timeout,timeout
186,2.0,427.9768604583333,relax
187,3,timeout,timeout
188,3,timeout,timeout
