Sample Number,Result,Time,Method
0,2.0,0.338308875,relax
1,1.0,0.30744133333333334,relax
2,2.0,0.3136935,relax
3,2.0,0.27227866666666667,relax
4,2.0,0.230345125,relax
5,2.0,0.272907875,relax
6,1.0,0.2634292916666667,relax
7,1.0,0.37180091666666665,relax
8,2.0,0.22234983333333333,relax
9,2.0,0.22445816666666665,relax
10,1.0,0.549879625,relax
11,2.0,0.3295210416666667,relax
12,1.0,0.3035494166666667,relax
13,2.0,0.26654666666666665,relax
14,2.0,0.20500541666666666,relax
15,2.0,0.21338983333333333,relax
16,2.0,0.30497025,relax
17,1.0,0.27670275,relax
18,2.0,0.24488125,relax
19,2.0,0.21056758333333334,relax
20,2.0,0.24822604166666667,relax
21,2.0,0.25205533333333335,relax
22,1.0,0.27918858333333335,relax
23,2.0,0.21397645833333334,relax
24,2.0,0.20081095833333334,relax
25,2.0,0.24389116666666666,relax
26,2.0,0.24542425,relax
27,1.0,0.384794125,relax
28,1.0,0.21775879166666667,relax
29,2.0,0.19494908333333333,relax
30,2.0,0.21920204166666668,relax
31,1.0,0.2637672916666667,relax
32,2.0,0.26027416666666664,relax
33,2.0,0.20478379166666666,relax
34,2.0,0.20413516666666667,relax
35,2.0,0.30053433333333335,relax
36,1.0,0.27891370833333334,relax
37,2.0,0.16430741666666668,relax
38,1.0,0.2512232916666667,relax
39,2.0,0.23607345833333335,relax
40,2.0,0.16673054166666668,relax
41,2.0,0.22074504166666667,relax
42,1.0,0.1951295,relax
43,2.0,0.19529179166666666,relax
44,2.0,0.2770785416666667,relax
45,2.0,0.2058785,relax
46,2.0,0.33158116666666665,relax
47,2.0,0.25125091666666666,relax
48,2.0,0.23186541666666666,relax
49,2.0,0.26624345833333335,relax
50,2.0,0.23817920833333334,relax
51,2.0,0.22709266666666666,relax
52,2.0,0.2509987083333333,relax
53,1.0,0.2796150416666667,relax
54,2.0,0.21395375,relax
55,2.0,0.23412804166666668,relax
56,1.0,0.218700375,relax
57,2.0,0.22268908333333334,relax
58,2.0,0.244142625,relax
59,1.0,0.2743835,relax
60,2.0,0.16798470833333334,relax
61,2.0,0.2714130416666667,relax
62,2.0,0.278693,relax
63,2.0,0.26048758333333333,relax
64,2.0,0.2397035,relax
65,2.0,0.207755375,relax
66,1.0,0.24187479166666667,relax
67,1.0,0.3182812916666667,relax
68,2.0,0.20258604166666666,relax
69,1.0,0.25659754166666665,relax
70,1.0,0.2504374583333333,relax
71,2.0,0.19501195833333335,relax
72,2.0,0.20464958333333333,relax
73,2.0,0.18238683333333333,relax
74,2.0,0.26112745833333334,relax
75,1.0,0.23586716666666666,relax
76,2.0,0.21270691666666666,relax
77,1.0,0.2512765416666667,relax
78,1.0,0.2592515,relax
79,1.0,0.31006554166666667,relax
80,1.0,0.35175225,relax
81,2.0,0.19630225,relax
82,2.0,0.171279,relax
83,2.0,0.18646275,relax
84,2.0,0.22628604166666666,relax
85,2.0,0.20740708333333333,relax
86,2.0,0.20103945833333334,relax
87,2.0,0.267844625,relax
88,2.0,0.16804075,relax
89,2.0,0.312693625,relax
90,2.0,0.20652225,relax
91,1.0,0.19869133333333333,relax
92,2.0,0.20380841666666666,relax
93,2.0,0.27921029166666667,relax
94,2.0,0.21089929166666666,relax
95,2.0,0.19086079166666667,relax
96,1.0,0.31029870833333334,relax
97,2.0,0.1884495,relax
98,2.0,0.181445625,relax
99,2.0,0.20231925,relax
