Sample Number,Result,Time,Method
0,1.0,177.71406466666667,relax
1,1.0,205.86569441666666,relax
2,1.0,205.85048695833333,relax
3,1.0,199.23589908333332,relax
4,1.0,193.60551858333332,relax
5,1.0,194.51646679166666,relax
6,1.0,207.92818270833334,relax
7,1.0,207.132541375,relax
8,1.0,209.0651875,relax
9,1.0,203.445818625,relax
10,1.0,203.73618770833335,relax
11,1.0,200.62904983333334,relax
12,1.0,198.400663,relax
13,1.0,204.948350125,relax
14,1.0,198.58626570833334,relax
15,1.0,225.20494570833333,relax
16,1.0,202.23229416666666,relax
17,1.0,221.451437,relax
18,1.0,210.34600745833333,relax
19,1.0,207.71289041666665,relax
20,1.0,203.72306683333332,relax
21,1.0,212.62122904166668,relax
22,1.0,199.88399420833332,relax
23,1.0,189.53250979166666,relax
24,1.0,202.315179625,relax
25,1.0,206.8328495,relax
26,1.0,208.05565783333333,relax
27,1.0,208.40638108333334,relax
28,1.0,198.99123229166668,relax
29,1.0,199.800116625,relax
30,1.0,214.70592316666668,relax
31,1.0,207.85450179166668,relax
32,1.0,215.03441433333333,relax
33,1.0,209.47380625,relax
34,1.0,214.30500175,relax
35,1.0,212.85174933333334,relax
36,1.0,203.84323058333334,relax
37,1.0,210.45255558333332,relax
38,1.0,199.60532254166668,relax
39,1.0,200.64238291666666,relax
40,1.0,195.448292625,relax
41,1.0,204.98583741666667,relax
42,1.0,215.70399616666666,relax
43,1.0,195.67612341666666,relax
44,1.0,211.640544625,relax
45,1.0,195.85993529166666,relax
46,1.0,215.62773191666668,relax
47,1.0,191.1262095,relax
48,1.0,218.21780941666665,relax
49,1.0,211.466173875,relax
50,1.0,219.397557625,relax
51,1.0,209.052017,relax
52,1.0,220.70460704166666,relax
53,1.0,203.842693625,relax
54,1.0,213.38983208333335,relax
55,1.0,186.70938720833334,relax
56,1.0,215.16560441666667,relax
57,1.0,203.726117625,relax
58,1.0,211.40877904166666,relax
59,1.0,218.94472858333333,relax
60,1.0,192.191122125,relax
61,1.0,212.43540908333333,relax
62,1.0,201.12612270833333,relax
63,1.0,206.2926575,relax
64,1.0,205.45988033333333,relax
65,1.0,200.92272425,relax
66,1.0,195.97555391666666,relax
67,1.0,193.59277004166665,relax
68,1.0,223.20785808333332,relax
69,1.0,210.00565175,relax
70,1.0,208.265741875,relax
71,1.0,208.09183245833333,relax
72,1.0,204.55717120833333,relax
73,1.0,211.78370958333332,relax
74,1.0,197.107672,relax
75,1.0,220.21568758333333,relax
76,1.0,206.63175033333334,relax
77,1.0,208.199134,relax
78,1.0,205.21046491666667,relax
79,1.0,214.16459383333333,relax
80,1.0,204.98952945833332,relax
81,1.0,211.735009375,relax
82,1.0,216.85400225,relax
83,1.0,211.45025220833332,relax
84,1.0,222.18447195833335,relax
85,1.0,203.829813625,relax
86,1.0,208.99347208333333,relax
87,1.0,208.87696733333334,relax
88,1.0,205.00121841666666,relax
89,1.0,189.96021895833334,relax
90,1.0,210.37406941666666,relax
91,1.0,199.75078075,relax
92,1.0,207.40581079166665,relax
93,1.0,215.69080566666668,relax
94,1.0,214.70949170833333,relax
95,1.0,205.83327379166667,relax
96,1.0,198.71512358333334,relax
97,1.0,198.26065508333335,relax
98,1.0,219.926062,relax
99,1.0,202.68073383333333,relax
