Sample Number,Result,Time,Method
0,1.0,209.55658104166667,relax
1,1.0,214.01531033333333,relax
2,1.0,214.32077904166667,relax
3,1.0,206.81392391666665,relax
4,1.0,205.411805,relax
5,1.0,209.96592795833334,relax
6,1.0,214.94721954166667,relax
7,1.0,214.02945875,relax
8,1.0,212.292686375,relax
9,1.0,213.66812258333334,relax
10,1.0,219.86128975,relax
11,1.0,209.159326375,relax
12,1.0,206.16501458333335,relax
13,1.0,216.36410766666665,relax
14,1.0,200.09213920833332,relax
15,1.0,228.40524654166666,relax
16,1.0,212.669483625,relax
17,1.0,222.34419695833333,relax
18,1.0,221.03039833333332,relax
19,1.0,219.0853645,relax
20,1.0,214.75049316666667,relax
21,1.0,221.48921691666666,relax
22,1.0,212.26101570833333,relax
23,1.0,200.64409383333333,relax
24,1.0,211.90738733333333,relax
25,1.0,211.55892254166667,relax
26,1.0,214.49491954166666,relax
27,1.0,214.39517258333333,relax
28,1.0,216.94894491666668,relax
29,1.0,216.87915675,relax
30,1.0,219.69057458333333,relax
31,1.0,210.635194375,relax
32,1.0,220.58692583333334,relax
33,1.0,219.52005575,relax
34,1.0,221.27794345833334,relax
35,1.0,222.041472125,relax
36,1.0,218.94992495833333,relax
37,1.0,208.34470720833335,relax
38,1.0,196.63399654166668,relax
39,1.0,212.318041125,relax
40,1.0,210.26215545833332,relax
41,1.0,205.494411375,relax
42,1.0,221.71513145833333,relax
43,1.0,202.40269770833333,relax
44,1.0,223.24410375,relax
45,1.0,208.04704979166667,relax
46,1.0,210.301210125,relax
47,1.0,209.139980125,relax
48,1.0,221.577084625,relax
49,1.0,209.70336279166668,relax
50,1.0,217.41049179166666,relax
51,1.0,213.40272941666666,relax
52,1.0,223.40014020833334,relax
53,1.0,218.54729225,relax
54,1.0,221.39674633333334,relax
55,1.0,204.17785366666666,relax
56,1.0,211.77565616666666,relax
57,1.0,210.69020708333332,relax
58,1.0,220.95081454166666,relax
59,1.0,207.00718783333335,relax
60,1.0,216.702241,relax
61,1.0,227.579298625,relax
62,1.0,203.60595029166666,relax
63,1.0,212.96680633333332,relax
64,1.0,215.361690875,relax
65,1.0,206.54173533333332,relax
66,1.0,203.712621125,relax
67,1.0,205.756846875,relax
68,1.0,231.480333625,relax
69,1.0,207.18151683333335,relax
70,2.0,221.841588125,relax
71,1.0,215.89538908333333,relax
72,1.0,216.53838225,relax
73,1.0,218.594322625,relax
74,1.0,213.36642658333332,relax
75,1.0,226.18693183333335,relax
76,1.0,222.51118258333332,relax
77,1.0,216.05170708333333,relax
78,1.0,215.18118333333334,relax
79,1.0,212.570090375,relax
80,1.0,216.00690941666667,relax
81,1.0,220.92480854166666,relax
82,1.0,221.882778375,relax
83,1.0,219.28656341666667,relax
84,1.0,226.36901245833334,relax
85,1.0,214.32085308333333,relax
86,1.0,212.31667729166668,relax
87,1.0,214.85500575,relax
88,1.0,211.340752,relax
89,1.0,215.59318204166667,relax
90,1.0,218.34950145833332,relax
91,1.0,204.51150579166668,relax
92,1.0,215.560346375,relax
93,1.0,220.80289029166667,relax
94,1.0,217.84873358333334,relax
95,1.0,209.48173029166668,relax
96,1.0,210.86744479166666,relax
97,1.0,210.81353508333333,relax
98,1.0,223.709228875,relax
99,1.0,213.169654125,relax
