Sample Number,Result,Time,Method
0,1.0,218.85286804166665,relax
1,1.0,212.391372625,relax
2,1.0,219.09595491666667,relax
3,1.0,221.50684641666666,relax
4,1.0,210.15095620833333,relax
5,1.0,209.891065125,relax
6,1.0,214.36808504166666,relax
7,1.0,220.85363479166668,relax
8,1.0,215.68261395833332,relax
9,1.0,218.03988516666666,relax
10,1.0,222.14362183333333,relax
11,1.0,211.226973375,relax
12,1.0,217.30644283333334,relax
13,1.0,226.49472266666666,relax
14,1.0,213.97273154166666,relax
15,1.0,234.31973870833335,relax
16,1.0,217.94804866666666,relax
17,1.0,225.12635579166667,relax
18,1.0,230.21022833333333,relax
19,1.0,218.84408883333333,relax
20,1.0,229.86934183333332,relax
21,1.0,218.50211283333334,relax
22,1.0,226.40633470833333,relax
23,1.0,218.877974375,relax
24,1.0,225.95623679166667,relax
25,1.0,216.73312183333334,relax
26,1.0,224.15555870833333,relax
27,1.0,228.93049820833335,relax
28,1.0,224.14543645833334,relax
29,1.0,224.17534591666666,relax
30,1.0,226.95733541666667,relax
31,1.0,217.792212,relax
32,1.0,217.738338375,relax
33,1.0,221.91682308333333,relax
34,1.0,225.96167325,relax
35,1.0,232.18239075,relax
36,1.0,216.68584875,relax
37,1.0,229.760948875,relax
38,1.0,196.23795945833334,relax
39,1.0,215.04937370833332,relax
40,1.0,222.37849670833333,relax
41,1.0,218.03654466666666,relax
42,1.0,230.225351625,relax
43,1.0,216.33350966666666,relax
44,1.0,228.538191375,relax
45,1.0,218.935793125,relax
46,1.0,230.171828125,relax
47,1.0,222.337216625,relax
48,1.0,228.58467616666667,relax
49,1.0,222.43554158333333,relax
50,1.0,231.80336583333334,relax
51,1.0,228.593486375,relax
52,1.0,234.31007566666668,relax
53,1.0,224.97920379166666,relax
54,1.0,231.883451625,relax
55,1.0,210.68664229166666,relax
56,1.0,231.10092370833334,relax
57,1.0,222.02092416666667,relax
58,1.0,221.8745225,relax
59,1.0,228.93810933333333,relax
60,1.0,208.601312625,relax
61,1.0,232.27150033333334,relax
62,1.0,218.11071691666666,relax
63,1.0,225.93491404166667,relax
64,1.0,218.400865,relax
65,1.0,226.9670035,relax
66,1.0,216.705985625,relax
67,1.0,216.04330641666667,relax
68,1.0,233.05324629166665,relax
69,1.0,226.28483758333334,relax
70,2.0,226.23652391666667,relax
71,1.0,223.78961679166667,relax
72,1.0,228.05632279166667,relax
73,1.0,229.458608875,relax
74,1.0,223.992931375,relax
75,1.0,233.38470345833332,relax
76,1.0,224.63095075,relax
77,1.0,227.53452145833333,relax
78,1.0,225.32801758333332,relax
79,1.0,226.39311866666668,relax
80,1.0,226.87477016666668,relax
81,1.0,224.33774308333332,relax
82,1.0,229.35117225,relax
83,1.0,228.88871595833334,relax
84,1.0,232.67823179166666,relax
85,1.0,227.11331833333332,relax
86,1.0,223.34330091666666,relax
87,1.0,226.15682191666667,relax
88,1.0,222.399115,relax
89,1.0,218.01010783333334,relax
90,1.0,228.69404116666666,relax
91,1.0,215.26663708333334,relax
92,1.0,219.53187129166668,relax
93,2.0,223.5845035,relax
94,1.0,230.00338308333335,relax
95,1.0,218.28495079166666,relax
96,1.0,218.63753454166667,relax
97,1.0,219.615645375,relax
98,1.0,224.650569375,relax
99,1.0,232.62935720833335,relax
