Sample Number,Result,Time,Method
0,2.0,2.2089013333333334,approx
1,1.0,1.8665473333333333,approx
2,2.0,2.3955582083333335,approx
3,2.0,2.5881079166666665,approx
4,2.0,3.1348996666666666,approx
5,2.0,2.6991960833333333,approx
6,1.0,2.275708416666667,approx
7,1.0,0.9414129166666667,approx
8,2.0,2.580330375,approx
9,2.0,2.5270822083333333,approx
10,2.0,1.1191794583333334,approx
11,2.0,2.663604875,approx
12,1.0,1.5068728333333334,approx
13,2.0,2.5022199166666668,approx
14,2.0,2.8942625416666665,approx
15,2.0,2.5782155,approx
16,2.0,2.839655375,approx
17,1.0,2.111677375,approx
18,1.0,2.410207,approx
19,2.0,2.544912125,approx
20,2.0,3.0695152083333332,approx
21,2.0,1.9123830416666667,approx
22,1.0,1.270622625,approx
23,2.0,2.3797000416666667,approx
24,2.0,4.426606083333334,approx
25,2.0,2.605904333333333,approx
26,2.0,2.31074925,approx
27,2.0,1.2723371666666667,approx
28,1.0,2.2405945,approx
29,1.0,2.8819712083333333,approx
30,2.0,2.2043335,approx
31,1.0,2.268418875,approx
32,2.0,2.428644333333333,approx
33,1.0,2.507445375,approx
34,2.0,2.807608125,approx
35,2.0,1.9969409583333333,approx
36,1.0,1.5233986666666666,approx
37,1.0,2.607899375,approx
38,1.0,1.5218705416666667,approx
39,2.0,3.190364541666667,approx
40,2.0,3.1670183333333335,approx
41,2.0,2.796660833333333,approx
42,1.0,1.915905375,approx
43,2.0,2.5410857916666667,approx
44,2.0,1.87714375,approx
45,2.0,2.5117352916666666,approx
46,2.0,2.045131083333333,approx
47,2.0,2.5099462916666666,approx
48,2.0,2.298944458333333,approx
49,2.0,2.3916923333333333,approx
50,2.0,1.7202728333333333,approx
51,2.0,2.2587137916666666,approx
52,2.0,3.217325375,approx
53,2.0,1.9359035833333333,approx
54,2.0,2.2553754583333334,approx
55,2.0,2.1282971666666666,approx
56,1.0,2.1367000833333334,approx
57,2.0,2.583523291666667,approx
58,2.0,2.280612958333333,approx
59,1.0,1.771821125,approx
60,1.0,2.5013834166666666,approx
61,2.0,1.9025320833333332,approx
62,2.0,2.006095125,approx
63,2.0,2.4858607916666666,approx
64,2.0,2.127796083333333,approx
65,2.0,2.5356305,approx
66,1.0,1.979047375,approx
67,1.0,1.8018917916666666,approx
68,1.0,2.3591330416666665,approx
69,2.0,2.0024450833333334,approx
70,2.0,2.6088666666666667,approx
71,2.0,2.8446364166666664,approx
72,2.0,2.4283392916666666,approx
73,2.0,2.964733333333333,approx
74,2.0,2.463473958333333,approx
75,1.0,2.0759385833333335,approx
76,1.0,2.1609937083333333,approx
77,2.0,2.019913916666667,approx
78,1.0,1.7671325833333333,approx
79,1.0,1.5306752916666666,approx
80,1.0,1.0896575833333333,approx
81,2.0,3.508073083333333,approx
82,2.0,3.0208192916666667,approx
83,2.0,2.7596325833333335,approx
84,2.0,2.6366852916666668,approx
85,2.0,2.870934458333333,approx
86,1.0,2.354329,approx
87,2.0,2.9392895833333332,approx
88,1.0,2.4938274166666665,approx
89,2.0,1.6382559166666666,approx
90,2.0,2.79909575,approx
91,1.0,1.830013,approx
92,1.0,2.4957100833333334,approx
93,2.0,2.20475025,approx
94,2.0,2.6523874166666666,approx
95,2.0,4.379273833333333,approx
96,1.0,1.27762975,approx
97,2.0,2.5263707916666664,approx
98,2.0,3.2763845833333334,approx
99,2.0,2.572078375,approx
